             A            B          C            D                              pred  similarity
0       Athens       Greece    Baghdad         Iraq                             Iraqi    0.635187
1       Athens       Greece    Bangkok     Thailand                          Thailand    0.713767
2       Athens       Greece    Beijing        China                             China    0.723578
3       Athens       Greece     Berlin      Germany                           Germany    0.673462
4       Athens       Greece       Bern  Switzerland                       Switzerland    0.491975
5       Athens       Greece      Cairo        Egypt                             Egypt    0.752781
6       Athens       Greece   Canberra    Australia                         Australia    0.583733
7       Athens       Greece      Hanoi      Vietnam                          Viet_Nam    0.627634
8       Athens       Greece     Havana         Cuba                              Cuba    0.646099
9       Athens       Greece   Helsinki      Finland                           Finland    0.689998
10      Athens       Greece  Islamabad     Pakistan                          Pakistan    0.723333
11      Athens       Greece      Kabul  Afghanistan                            Afghan    0.616092
12      Athens       Greece     London      England                           Britain    0.564619
13      Athens       Greece     Madrid        Spain                             Spain    0.703661
14      Athens       Greece     Moscow       Russia                            Russia    0.738297
15      Athens       Greece       Oslo       Norway                            Norway    0.647074
16      Athens       Greece     Ottawa       Canada                            Canada    0.591217
17      Athens       Greece      Paris       France                            France    0.672462
18      Athens       Greece       Rome        Italy                             Italy    0.682619
19      Athens       Greece  Stockholm       Sweden                            Sweden    0.675724
20      Athens       Greece     Tehran         Iran                              Iran    0.767137
21      Athens       Greece      Tokyo        Japan                             Japan    0.725609
22     Baghdad         Iraq    Bangkok     Thailand                          Thailand    0.674536
23     Baghdad         Iraq    Beijing        China                             China    0.691565
24     Baghdad         Iraq     Berlin      Germany                           Germany    0.605741
25     Baghdad         Iraq       Bern  Switzerland              coach_Bobby_Curlings    0.434716
26     Baghdad         Iraq      Cairo        Egypt                             Egypt    0.684849
27     Baghdad         Iraq   Canberra    Australia                           Mr_Rudd    0.618611
28     Baghdad         Iraq      Hanoi      Vietnam                           Vietnam    0.749355
29     Baghdad         Iraq     Havana         Cuba                              Cuba    0.713326
30     Baghdad         Iraq   Helsinki      Finland                           Finland    0.597256
31     Baghdad         Iraq  Islamabad     Pakistan                          Pakistan    0.746694
32     Baghdad         Iraq      Kabul  Afghanistan                       Afghanistan    0.835936
33     Baghdad         Iraq     London      England                           Britain    0.585363
34     Baghdad         Iraq     Madrid        Spain                             Spain    0.614468
35     Baghdad         Iraq     Moscow       Russia                            Russia    0.723621
36     Baghdad         Iraq       Oslo       Norway                            Norway    0.598758
37     Baghdad         Iraq     Ottawa       Canada      Prime_Minister_Jean_Chrétien    0.570486
38     Baghdad         Iraq      Paris       France                            France    0.620372
39     Baghdad         Iraq       Rome        Italy                             Italy    0.536266
40     Baghdad         Iraq  Stockholm       Sweden                            Sweden    0.590780
41     Baghdad         Iraq     Tehran         Iran                              Iran    0.811499
42     Baghdad         Iraq      Tokyo        Japan                             Japan    0.705630
43     Baghdad         Iraq     Athens       Greece                            Greece    0.579353
44     Bangkok     Thailand    Beijing        China                             China    0.826398
45     Bangkok     Thailand     Berlin      Germany                           Germany    0.729520
46     Bangkok     Thailand       Bern  Switzerland                       Switzerland    0.504777
47     Bangkok     Thailand      Cairo        Egypt                             Egypt    0.811871
48     Bangkok     Thailand   Canberra    Australia                         Australia    0.715491
49     Bangkok     Thailand      Hanoi      Vietnam                          Viet_Nam    0.770059
50     Bangkok     Thailand     Havana         Cuba                              Cuba    0.800741
51     Bangkok     Thailand   Helsinki      Finland                           Finland    0.751527
52     Bangkok     Thailand  Islamabad     Pakistan                          Pakistan    0.797675
53     Bangkok     Thailand      Kabul  Afghanistan                       Afghanistan    0.666689
54     Bangkok     Thailand     London      England                           Britain    0.657625
55     Bangkok     Thailand     Madrid        Spain                             Spain    0.765530
56     Bangkok     Thailand     Moscow       Russia                            Russia    0.861366
57     Bangkok     Thailand       Oslo       Norway                            Norway    0.714274
58     Bangkok     Thailand     Ottawa       Canada                            Canada    0.668482
59     Bangkok     Thailand      Paris       France                            France    0.738816
60     Bangkok     Thailand       Rome        Italy                             Italy    0.686313
61     Bangkok     Thailand  Stockholm       Sweden                            Sweden    0.758718
62     Bangkok     Thailand     Tehran         Iran                              Iran    0.836344
63     Bangkok     Thailand      Tokyo        Japan                             Japan    0.828263
64     Bangkok     Thailand     Athens       Greece                            Greece    0.676502
65     Bangkok     Thailand    Baghdad         Iraq                             Iraqi    0.688514
66     Beijing        China     Berlin      Germany                           Germany    0.723226
67     Beijing        China       Bern  Switzerland                           Bern_NC    0.465582
68     Beijing        China      Cairo        Egypt                             Egypt    0.765308
69     Beijing        China   Canberra    Australia                         Australia    0.723439
70     Beijing        China      Hanoi      Vietnam                          Viet_Nam    0.779315
71     Beijing        China     Havana         Cuba                              Cuba    0.718966
72     Beijing        China   Helsinki      Finland                           Finland    0.714139
73     Beijing        China  Islamabad     Pakistan                          Pakistan    0.806241
74     Beijing        China      Kabul  Afghanistan                            Afghan    0.677089
75     Beijing        China     London      England                                UK    0.630480
76     Beijing        China     Madrid        Spain                             Spain    0.732031
77     Beijing        China     Moscow       Russia                            Russia    0.857980
78     Beijing        China       Oslo       Norway                            Norway    0.662898
79     Beijing        China     Ottawa       Canada                            Canada    0.653717
80     Beijing        China      Paris       France                            France    0.710912
81     Beijing        China       Rome        Italy                             Italy    0.663749
82     Beijing        China  Stockholm       Sweden                            Sweden    0.702665
83     Beijing        China     Tehran         Iran                              Iran    0.826275
84     Beijing        China      Tokyo        Japan                             Japan    0.823670
85     Beijing        China     Athens       Greece                            Greece    0.651515
86     Beijing        China    Baghdad         Iraq                             Mosul    0.704189
87     Beijing        China    Bangkok     Thailand                          Thailand    0.804724
88      Berlin      Germany       Bern  Switzerland                       Switzerland    0.609532
89      Berlin      Germany      Cairo        Egypt                             Egypt    0.691231
90      Berlin      Germany   Canberra    Australia                         Australia    0.748510
91      Berlin      Germany      Hanoi      Vietnam                          Viet_Nam    0.687509
92      Berlin      Germany     Havana         Cuba                              Cuba    0.696118
93      Berlin      Germany   Helsinki      Finland                           Finland    0.765449
94      Berlin      Germany  Islamabad     Pakistan                          Pakistan    0.759763
95      Berlin      Germany      Kabul  Afghanistan                            Afghan    0.645054
96      Berlin      Germany     London      England                                UK    0.659743
97      Berlin      Germany     Madrid        Spain                             Spain    0.776821
98      Berlin      Germany     Moscow       Russia                            Russia    0.810738
99      Berlin      Germany       Oslo       Norway                            Norway    0.729174
100     Berlin      Germany     Ottawa       Canada                            Canada    0.677323
101     Berlin      Germany      Paris       France                            France    0.788409
102     Berlin      Germany       Rome        Italy                             Italy    0.750961
103     Berlin      Germany  Stockholm       Sweden                            Sweden    0.802266
104     Berlin      Germany     Tehran         Iran                              Iran    0.774776
105     Berlin      Germany      Tokyo        Japan                             Japan    0.796979
106     Berlin      Germany     Athens       Greece                            Greece    0.639047
107     Berlin      Germany    Baghdad         Iraq                             Mosul    0.686406
108     Berlin      Germany    Bangkok     Thailand                          Thailand    0.768084
109     Berlin      Germany    Beijing        China                             China    0.775585
110       Bern  Switzerland      Cairo        Egypt                             Egypt    0.598927
111       Bern  Switzerland   Canberra    Australia                         Australia    0.686051
112       Bern  Switzerland      Hanoi      Vietnam                          Viet_Nam    0.560937
113       Bern  Switzerland     Havana         Cuba                              Cuba    0.629596
114       Bern  Switzerland   Helsinki      Finland                           Finland    0.663766
115       Bern  Switzerland  Islamabad     Pakistan                          Pakistan    0.670802
116       Bern  Switzerland      Kabul  Afghanistan                       Afghanistan    0.533818
117       Bern  Switzerland     London      England  EURASIAN_NATURAL_RESOURCES_CORP.    0.546383
118       Bern  Switzerland     Madrid        Spain                             Spain    0.642372
119       Bern  Switzerland     Moscow       Russia                            Russia    0.648759
120       Bern  Switzerland       Oslo       Norway                            Norway    0.644838
121       Bern  Switzerland     Ottawa       Canada                            Canada    0.646811
122       Bern  Switzerland      Paris       France                            France    0.612955
123       Bern  Switzerland       Rome        Italy                             Italy    0.648633
124       Bern  Switzerland  Stockholm       Sweden                            Sweden    0.684966
125       Bern  Switzerland     Tehran         Iran                              Iran    0.681384
126       Bern  Switzerland      Tokyo        Japan                             Japan    0.643428
127       Bern  Switzerland     Athens       Greece                            Greece    0.580010
128       Bern  Switzerland    Baghdad         Iraq                             Iraqi    0.573024
129       Bern  Switzerland    Bangkok     Thailand                          Thailand    0.661731
130       Bern  Switzerland    Beijing        China                             China    0.622530
131       Bern  Switzerland     Berlin      Germany                           Germany    0.713835
132      Cairo        Egypt   Canberra    Australia                         Australia    0.681156
133      Cairo        Egypt      Hanoi      Vietnam                          Viet_Nam    0.758939
134      Cairo        Egypt     Havana         Cuba                              Cuba    0.763902
135      Cairo        Egypt   Helsinki      Finland                           Finland    0.725674
136      Cairo        Egypt  Islamabad     Pakistan                          Pakistan    0.815592
137      Cairo        Egypt      Kabul  Afghanistan                            Afghan    0.682964
138      Cairo        Egypt     London      England                           Britain    0.645427
139      Cairo        Egypt     Madrid        Spain                             Spain    0.746913
140      Cairo        Egypt     Moscow       Russia                            Russia    0.842657
141      Cairo        Egypt       Oslo       Norway                            Norway    0.697564
142      Cairo        Egypt     Ottawa       Canada                            Canada    0.665915
143      Cairo        Egypt      Paris       France                            France    0.711420
144      Cairo        Egypt       Rome        Italy                             Italy    0.681283
145      Cairo        Egypt  Stockholm       Sweden                            Sweden    0.736516
146      Cairo        Egypt     Tehran         Iran                              Iran    0.853185
147      Cairo        Egypt      Tokyo        Japan                             Japan    0.775352
148      Cairo        Egypt     Athens       Greece                            Greece    0.735536
149      Cairo        Egypt    Baghdad         Iraq                             Iraqi    0.720805
150      Cairo        Egypt    Bangkok     Thailand                          Thailand    0.827574
151      Cairo        Egypt    Beijing        China                             China    0.806604
152      Cairo        Egypt     Berlin      Germany                           Germany    0.701691
153      Cairo        Egypt       Bern  Switzerland                       Switzerland    0.493041
154   Canberra    Australia      Hanoi      Vietnam                          Viet_Nam    0.671449
155   Canberra    Australia     Havana         Cuba                              Cuba    0.696442
156   Canberra    Australia   Helsinki      Finland                           Finland    0.690655
157   Canberra    Australia  Islamabad     Pakistan                          Pakistan    0.774396
158   Canberra    Australia      Kabul  Afghanistan                           Afghans    0.585472
159   Canberra    Australia     London      England                                UK    0.622453
160   Canberra    Australia     Madrid        Spain                             Spain    0.741028
161   Canberra    Australia     Moscow       Russia                            Russia    0.789109
162   Canberra    Australia       Oslo       Norway                            Norway    0.670375
163   Canberra    Australia     Ottawa       Canada                            Canada    0.749212
164   Canberra    Australia      Paris       France                            France    0.716000
165   Canberra    Australia       Rome        Italy                             Italy    0.663947
166   Canberra    Australia  Stockholm       Sweden                            Sweden    0.706972
167   Canberra    Australia     Tehran         Iran                              Iran    0.755109
168   Canberra    Australia      Tokyo        Japan                             Japan    0.758480
169   Canberra    Australia     Athens       Greece                            Greece    0.570070
170   Canberra    Australia    Baghdad         Iraq                             Mosul    0.639703
171   Canberra    Australia    Bangkok     Thailand                          Thailand    0.735866
172   Canberra    Australia    Beijing        China                             China    0.782337
173   Canberra    Australia     Berlin      Germany                           Germany    0.744106
174   Canberra    Australia       Bern  Switzerland                       Switzerland    0.536025
175   Canberra    Australia      Cairo        Egypt                             Egypt    0.685940
