       country  cluster
     dishonest        0
   distasteful        0
     illogical        0
    impossible        0
  inconsistent        0
  inconvenient        0
   inefficient        0
    irrational        0
 irresponsible        0
  unacceptable        0
       unaware        0
     uncertain        0
       unclear        0
 uncomfortable        0
 uncompetitive        0
  unconvincing        0
     undecided        0
     unethical        0
   unfortunate        0
  unimpressive        0
 uninformative        0
    uninformed        0
       unknown        0
      unlikely        0
    unpleasant        0
  unproductive        0
  unreasonable        0
        unsure        0
   Afghanistan        1
       Albania        1
      Albanian        1
       Algeria        1
        Angola        1
   Argentinean        1
       Armenia        1
     Australia        1
    Australian        1
       Austria        1
      Austrian        1
    Azerbaijan        1
       Bahamas        1
       Bahrain        1
    Bangladesh        1
       Belarus        1
       Belgium        1
        Belize        1
   Belorussian        1
        Bhutan        1
      Botswana        1
     Brazilian        1
      Bulgaria        1
     Bulgarian        1
       Burundi        1
     Cambodian        1
        Canada        1
         Chile        1
       Chilean        1
         China        1
       Chinese        1
     Colombian        1
       Croatia        1
      Croatian        1
          Cuba        1
        Cyprus        1
        Danish        1
       Denmark        1
      Dominica        1
         Dutch        1
       Ecuador        1
         Egypt        1
      Egyptian        1
       England        1
       Eritrea        1
       Estonia        1
          Fiji        1
       Finland        1
        France        1
        French        1
         Gabon        1
        Gambia        1
        German        1
       Germany        1
         Ghana        1
        Greece        1
         Greek        1
     Greenland        1
        Guinea        1
        Guyana        1
      Honduras        1
       Hungary        1
     Icelandic        1
        Indian        1
     Indonesia        1
          Iran        1
          Iraq        1
       Ireland        1
         Irish        1
       Israeli        1
       Italian        1
         Italy        1
       Jamaica        1
         Japan        1
      Japanese        1
    Kazakhstan        1
         Kenya        1
        Korean        1
    Kyrgyzstan        1
          Laos        1
        Latvia        1
       Lebanon        1
       Liberia        1
         Libya        1
 Liechtenstein        1
     Lithuania        1
     Macedonia        1
    Macedonian        1
    Madagascar        1
        Malawi        1
          Mali        1
         Malta        1
       Maltese        1
    Mauritania        1
       Mexican        1
       Moldova        1
      Moldovan        1
    Montenegro        1
       Morocco        1
    Mozambique        1
       Namibia        1
         Nepal        1
     Nicaragua        1
         Niger        1
       Nigeria        1
        Norway        1
     Norwegian        1
          Oman        1
      Pakistan        1
          Peru        1
      Peruvian        1
   Philippines        1
        Poland        1
        Polish        1
      Portugal        1
    Portuguese        1
         Qatar        1
       Romania        1
        Russia        1
       Russian        1
        Rwanda        1
         Samoa        1
       Senegal        1
        Serbia        1
      Slovakia        1
     Slovakian        1
      Slovenia        1
       Somalia        1
         Spain        1
       Spanish        1
         Sudan        1
      Suriname        1
        Sweden        1
       Swedish        1
         Swiss        1
   Switzerland        1
         Syria        1
        Taiwan        1
    Tajikistan        1
          Thai        1
      Thailand        1
       Tunisia        1
        Turkey        1
  Turkmenistan        1
        Tuvalu        1
        Uganda        1
       Ukraine        1
     Ukrainian        1
       Uruguay        1
    Uzbekistan        1
     Venezuela        1
       Vietnam        1
        Zambia        1
      Zimbabwe        1
          baht        1
         dinar        1
          dong        1
          dram        1
          euro        1
        forint        1
       hryvnia        1
         krona        1
         krone        1
          kuna        1
        kwanza        1
          lats        1
           leu        1
           lev        1
         litas        1
         naira        1
          peso        1
          rial        1
          riel        1
       ringgit        1
         ruble        1
         rupee        1
           yen        1
         zloty        1
          best        2
       biggest        2
     brightest        2
       coldest        2
       coolest        2
       darkest        2
       easiest        2
       fastest        2
      greatest        2
       highest        2
       hottest        2
       largest        2
       longest        2
        lowest        2
      luckiest        2
        oldest        2
      quickest        2
      sharpest        2
      shortest        2
      simplest        2
       slowest        2
      smallest        2
      smartest        2
     strangest        2
     strongest        2
      sweetest        2
       tallest        2
      tastiest        2
       warmest        2
       weakest        2
      weirdest        2
        widest        2
         worst        2
      youngest        2
        better        3
        bigger        3
      brighter        3
       cheaper        3
        colder        3
        cooler        3
     decreased        3
     decreases        3
    decreasing        3
        deeper        3
        easier        3
   efficiently        3
      enhanced        3
      enhances        3
     enhancing        3
        faster        3
       greater        3
        harder        3
       heavier        3
        higher        3
        hotter        3
     increased        3
     increases        3
    increasing        3
        larger        3
        longer        3
        louder        3
         lower        3
         newer        3
         older        3
       quicker        3
       rapidly        3
         safer        3
       sharper        3
       shorter        3
        shrank        3
       simpler        3
        slowed        3
        slower        3
       slowing        3
        slowly        3
         slows        3
       smaller        3
       smarter        3
      stronger        3
        taller        3
       tighter        3
       tougher        3
        warmer        3
        weaker        3
         wider        3
         worse        3
       younger        3
       Alabama        4
        Alaska        4
       Arizona        4
    California        4
      Colorado        4
       English        4
       Florida        4
       Georgia        4
        Hawaii        4
      Illinois        4
       Indiana        4
        Jordan        4
        Kansas        4
      Kentucky        4
     Louisiana        4
      Maryland        4
 Massachusetts        4
      Michigan        4
     Minnesota        4
      Nebraska        4
        Nevada        4
          Ohio        4
      Oklahoma        4
        Oregon        4
  Pennsylvania        4
     Tennessee        4
         Texas        4
    Washington        4
     Wisconsin        4
     amazingly        4
    apparently        4
          aunt        4
       bananas        4
         birds        4
       bottles        4
         bride        4
     buildings        4
        calmly        4
          cars        4
          cats        4
    cheerfully        4
      children        4
        clouds        4
        coding        4
        colors        4
    completely        4
     computers        4
          cows        4
        danced        4
       dancing        4
      daughter        4
     daughters        4
     debugging        4
         denar        4
     described        4
     describes        4
    describing        4
   discovering        4
          dogs        4
        dollar        4
       dollars        4
       donkeys        4
        dreams        4
        eagles        4
          eats        4
     elephants        4
     estimates        4
          eyes        4
           fed        4
          fell        4
         finds        4
       fingers        4
          flew        4
        flying        4
   fortunately        4
        freely        4
     furiously        4
     generated        4
     generates        4
    generating        4
          girl        4
         goats        4
          goes        4
         going        4
 granddaughter        4
       grandma        4
   grandmother        4
         hands        4
       happily        4
           her        4
           hid        4
           hit        4
        horses        4
   immediately        4
   implemented        4
  implementing        4
    implements        4
    impossibly        4
  infrequently        4
     inventing        4
        jumped        4
       jumping        4
          knew        4
         lions        4
      listened        4
     listening        4
       listens        4
        looked        4
       looking        4
       luckily        4
      machines        4
       mangoes        4
        melons        4
           men        4
          mice        4
           mom        4
       monkeys        4
        mostly        4
        mother        4
         moved        4
        moving        4
         niece        4
     obviously        4
  occasionally        4
        onions        4
          paid        4
         pears        4
          pigs        4
    pineapples        4
        played        4
       playing        4
         plays        4
   policewoman        4
      possibly        4
     precisely        4
     predicted        4
    predicting        4
      predicts        4
      princess        4
professionally        4
      provides        4
         queen        4
       quickly        4
       quietly        4
           ran        4
        rarely        4
          rats        4
          read        4
       reading        4
          real        4
   reluctantly        4
         roads        4
       running        4
        safely        4
          said        4
          sang        4
           sat        4
           saw        4
        saying        4
          says        4
      screamed        4
     screaming        4
       screams        4
      searches        4
        seeing        4
          sees        4
     seriously        4
           she        4
      shuffles        4
     shuffling        4
       singing        4
         sings        4
        sister        4
       sisters        4
          sits        4
       sitting        4
         slept        4
        snakes        4
          sold        4
        speaks        4
         spent        4
  stepdaughter        4
    stepmother        4
    stepsister        4
        struck        4
      suddenly        4
          swam        4
       swiftly        4
      swimming        4
         swims        4
         talks        4
      thinking        4
        thinks        4
       thought        4
          took        4
     typically        4
 unfortunately        4
       usually        4
      vanished        4
      vanishes        4
     vanishing        4
        walked        4
       walking        4
         walks        4
          went        4
          wife        4
         woman        4
         women        4
           won        4
         works        4
        writes        4
       writing        4
         wrote        4
